basari_sirasi,ayt_matematik,ayt_edebiyat,ayt_cografya1
94.0,35.8,22.5,5.1
82.0,39.2,22.5,5.3
200.0,39.4,22.7,5.9
670.0,30.1,21.6,4.9
163.0,37.5,22.8,5.4
455.0,37.9,21.4,5.7
277.0,35.5,21.7,5.0
172.0,37.4,22.3,5.0
286.0,39.1,21.7,5.6
473.0,34.0,22.4,4.5
239.0,38.0,22.6,4.8
132.0,39.4,22.6,5.8
305.0,34.2,22.2,4.8
271.0,37.6,22.1,5.0
329.0,38.6,21.9,5.5
651.0,31.9,21.4,4.8
302.0,38.1,22.3,4.9
436.0,38.2,21.5,5.5
256.0,34.9,22.4,4.7
330.0,37.1,22.1,5.0
524.0,39.3,21.1,5.4
425.0,33.7,21.8,4.8
340.0,38.0,22.2,5.2
164.0,39.5,22.5,5.7
630.0,33.9,21.7,4.8
433.0,36.4,21.6,4.4
715.0,38.0,21.0,5.7
311.0,34.7,22.3,5.0
477.0,36.8,21.5,4.9
970.0,37.8,20.4,5.6
403.0,33.6,21.5,4.4
478.0,37.4,21.5,4.6
672.0,38.6,20.8,5.3
414.0,36.1,21.6,4.5
491.0,35.5,22.2,4.8
742.0,37.6,22.6,5.5
609.0,33.4,22.1,4.5
541.0,36.2,22.1,4.8
509.0,38.5,21.5,5.5
529.0,33.8,21.6,4.6
557.0,36.7,21.8,4.6
662.0,38.6,21.4,5.5
2083.0,28.5,20.8,3.9
643.0,34.3,21.9,4.5
1205.0,37.1,20.8,5.7
515.0,34.2,21.6,4.4
654.0,35.7,21.4,4.8
977.0,36.9,20.8,5.3
691.0,32.0,21.4,4.2
658.0,36.0,20.8,5.0
689.0,38.2,21.2,5.3
768.0,32.0,20.8,4.8
765.0,34.9,20.1,4.3
973.0,38.3,19.9,5.1
845.0,31.5,21.4,4.5
795.0,35.2,21.4,4.6
683.0,34.2,20.9,4.3
814.0,34.8,20.7,4.5
1278.0,36.9,21.7,4.8
756.0,31.2,21.2,4.6
829.0,34.5,21.6,4.3
1589.0,36.5,20.1,5.6
879.0,31.2,20.3,4.3
970.0,33.9,21.3,4.2
1340.0,37.2,19.0,5.1
1169.0,29.6,21.4,4.3
1123.0,34.9,21.0,4.4
1458.0,29.5,21.0,4.5
1135.0,34.9,21.5,4.9
1388.0,36.4,21.2,5.2
1362.0,29.9,21.1,4.5
1180.0,34.7,21.5,4.6
1128.0,37.3,20.7,5.5
1191.0,31.8,21.1,4.8
1262.0,34.8,21.2,4.3
1689.0,36.7,20.3,5.4
1389.0,29.2,20.5,4.5
1270.0,33.5,21.0,4.8
1448.0,37.0,20.1,5.1
1240.0,29.7,21.5,4.5
1284.0,34.8,21.3,4.4
1741.0,37.6,20.7,5.3
1142.0,30.2,21.0,4.8
1292.0,34.6,20.0,4.4
1867.0,36.1,18.9,4.8
1447.0,29.3,20.6,4.5
1319.0,34.7,20.2,4.1
1663.0,35.8,20.6,5.2
972.0,31.4,21.1,3.9
1343.0,33.6,20.0,4.3
2012.0,37.2,19.9,5.1
1417.0,30.2,20.0,4.3
1387.0,33.5,21.1,4.3
1746.0,36.1,19.6,4.8
1779.0,30.0,21.1,4.6
1406.0,34.9,21.5,4.4
1316.0,37.2,20.8,5.3
1619.0,29.7,20.9,4.4
1414.0,35.5,21.5,4.4
933.0,38.4,20.7,5.2
975.0,31.5,20.6,4.5
1430.0,34.9,20.1,3.5
2708.0,35.2,18.5,5.0
1819.0,27.5,20.4,4.4
1522.0,32.8,21.0,4.5
1890.0,34.8,19.9,5.3
1520.0,29.8,21.1,4.5
1527.0,34.3,20.5,4.2
2017.0,36.2,19.5,5.2
1091.0,29.8,21.2,3.9
1584.0,33.4,20.9,4.3
1389.0,37.8,20.7,5.5
1559.0,29.6,21.0,4.4
1662.0,34.1,21.3,4.3
991.0,37.7,21.8,5.5
1027.0,31.0,20.2,4.2
1711.0,33.0,21.5,4.8
1908.0,34.9,20.1,5.0
1512.0,30.0,20.9,4.4
1715.0,34.1,20.1,4.4
2604.0,35.6,19.0,5.1
1722.0,27.4,20.6,4.3
1719.0,31.7,20.7,3.8
2425.0,31.8,19.0,6.0
1608.0,29.9,20.4,4.5
1803.0,33.8,21.0,4.0
2785.0,36.3,18.9,5.3
1657.0,27.1,22.0,4.3
1812.0,32.1,21.1,3.3
2102.0,34.6,20.9,5.1
1671.0,28.3,20.9,4.4
1939.0,33.5,20.4,4.3
3136.0,34.7,19.5,5.0
2155.0,27.0,21.4,4.5
1954.0,33.4,20.9,4.5
2770.0,35.0,19.5,5.0
1900.0,28.3,19.8,4.4
1990.0,32.8,19.5,4.4
2929.0,35.5,18.5,4.8
2271.0,27.2,20.4,4.5
2134.0,33.0,21.0,4.7
3269.0,35.3,20.1,4.7
2143.0,26.6,20.6,4.2
2255.0,33.5,20.0,4.4
2149.0,27.2,20.7,4.4
2267.0,31.9,20.1,4.2
3923.0,33.6,18.8,5.3
1993.0,27.0,21.2,3.9
2353.0,31.2,19.7,3.3
3894.0,34.6,17.5,5.3
2450.0,26.9,20.8,4.5
2374.0,33.1,20.2,4.1
3094.0,29.2,19.9,5.4
2429.0,28.9,20.5,4.3
2182.0,36.8,16.9,6.0
4465.0,23.4,20.6,4.6
2437.0,32.0,21.1,4.1
4087.0,35.0,19.4,4.9
2372.0,25.4,21.0,4.4
2465.0,31.4,20.2,4.0
2906.0,34.0,19.4,5.2
1568.0,29.0,20.5,2.5
2468.0,26.0,21.5,6.0
3497.0,37.8,17.0,6.0
2653.0,27.4,18.9,4.0
2793.0,31.5,18.7,4.0
3558.0,35.6,19.8,5.0
3447.0,26.4,20.6,4.6
2967.0,33.3,20.9,3.4
5397.0,35.2,17.2,4.9
2793.0,26.1,21.6,4.6
2995.0,30.0,20.2,4.4
4798.0,36.9,17.9,4.7
