basari_sirasi,ayt_matematik,ayt_kimya,ayt_biyoloji,ayt_fizik
31.0,39.9,12.8,13.0,14.0
30.0,40.0,13.0,12.8,14.0
70.0,40.0,13.0,12.8,13.6
24.0,40.0,13.0,13.0,13.6
43.0,40.0,13.0,13.0,13.8
75.0,40.0,13.0,12.8,13.6
254.0,38.8,13.0,12.4,14.0
69.0,40.0,13.0,13.0,14.0
430.0,40.0,13.0,12.6,13.6
203.0,39.3,12.8,12.2,13.8
71.0,40.0,13.0,13.0,13.5
357.0,39.8,12.7,12.9,13.3
122.0,39.5,12.6,12.6,14.0
98.0,39.9,13.0,12.7,13.9
156.0,39.7,12.9,12.9,13.7
286.0,39.4,12.8,12.5,13.8
242.0,39.9,12.8,12.5,13.8
350.0,39.9,12.8,12.8,13.6
363.0,39.8,12.5,12.7,13.8
250.0,39.8,12.9,12.2,13.8
1292.0,39.8,12.6,12.6,13.1
386.0,39.1,12.5,12.5,13.9
297.0,39.6,12.9,12.6,13.8
383.0,39.9,12.6,12.6,13.4
1234.0,37.9,12.2,13.0,13.6
316.0,40.0,13.0,12.4,13.7
660.0,40.0,12.6,12.6,13.6
532.0,38.8,12.4,12.6,13.6
374.0,40.0,13.0,12.1,13.4
523.0,39.8,12.8,12.6,13.4
452.0,39.3,12.6,12.6,13.8
480.0,39.7,12.9,12.5,13.8
811.0,39.8,12.6,12.7,13.3
758.0,39.0,12.8,12.2,13.7
495.0,39.5,13.0,12.4,13.8
693.0,39.5,12.9,12.7,13.3
945.0,38.7,12.4,12.5,13.6
716.0,39.5,12.9,12.4,13.7
878.0,39.8,12.6,12.6,13.1
1008.0,38.7,12.5,12.5,13.6
775.0,39.7,12.9,12.5,13.7
315.0,39.9,12.8,12.8,13.6
1419.0,38.0,13.0,13.0,13.2
796.0,39.7,13.0,12.7,13.4
571.0,39.8,13.0,13.0,13.8
1311.0,38.2,12.6,12.5,13.6
884.0,39.5,12.9,12.4,13.7
716.0,39.9,12.6,12.7,13.4
3064.0,37.5,11.6,11.9,13.9
948.0,39.5,13.0,12.3,14.0
1450.0,40.0,12.2,12.2,13.6
1242.0,38.3,12.3,12.4,13.6
1089.0,39.4,12.9,12.3,13.6
1482.0,39.7,12.5,12.5,12.9
1348.0,38.3,12.3,12.4,13.6
1147.0,39.4,12.9,12.2,13.7
1179.0,39.7,12.5,12.5,13.2
1391.0,37.8,12.3,12.2,13.7
1151.0,39.6,12.9,12.4,13.3
1658.0,39.7,12.3,12.2,12.7
2140.0,36.3,12.6,12.6,12.8
1259.0,39.1,12.7,12.7,13.4
2098.0,39.2,12.2,12.5,12.8
1288.0,38.4,12.4,12.4,13.6
1436.0,39.4,12.7,12.0,13.6
1054.0,39.8,12.5,12.5,13.0
1804.0,37.1,11.8,12.1,13.6
1511.0,39.2,13.0,11.9,13.9
1578.0,39.7,12.4,12.6,12.4
1734.0,36.7,12.1,12.5,13.5
1534.0,39.4,12.7,12.3,13.0
1326.0,39.4,12.4,12.8,12.4
2519.0,38.0,12.2,12.2,13.5
1632.0,39.3,12.8,12.3,13.3
2457.0,39.3,12.3,12.8,13.5
1676.0,37.6,12.3,12.1,13.4
1660.0,39.2,12.8,12.1,13.6
2192.0,39.6,12.4,12.4,12.5
1763.0,37.6,12.3,12.2,13.5
1665.0,39.1,12.6,12.1,13.8
1686.0,39.5,12.2,12.4,13.1
1858.0,37.6,12.0,12.1,13.6
1669.0,39.2,12.8,12.1,13.5
1143.0,39.9,12.6,12.5,13.1
1935.0,37.2,12.2,12.3,13.5
1754.0,39.0,12.7,12.0,13.5
2290.0,39.6,12.2,12.4,12.4
2053.0,37.5,12.2,12.1,13.5
1784.0,39.0,12.8,12.1,13.6
1448.0,39.7,12.4,12.6,12.6
2474.0,36.9,11.8,12.0,13.0
1839.0,39.0,12.4,12.2,13.9
2291.0,39.0,11.4,12.2,13.1
1603.0,38.1,12.1,12.1,13.5
1913.0,39.1,12.7,11.8,13.6
2094.0,39.6,12.2,12.2,12.8
3113.0,36.7,11.6,12.5,13.8
1999.0,39.5,12.7,12.1,13.5
2215.0,39.7,12.1,12.5,12.7
2544.0,36.8,11.4,12.1,13.1
2218.0,39.8,12.3,12.0,13.0
3406.0,39.6,12.4,12.6,11.9
2392.0,37.1,11.9,12.2,13.6
2364.0,39.0,12.7,11.5,13.5
1879.0,39.6,12.5,12.1,12.6
2826.0,36.0,11.9,12.2,13.3
2449.0,38.8,12.6,11.9,13.4
3042.0,39.4,12.0,11.9,12.2
2408.0,37.1,11.8,12.1,13.5
2551.0,38.8,12.5,11.5,13.5
3346.0,39.3,12.1,12.1,12.5
