basari_sirasi,ayt_edebiyat,ayt_tarih1,ayt_cografya1,ayt_tarih2,ayt_cografya2,ayt_felsefe,ayt_din_kulturu
94.0,22.5,0,5.1,0,0,0,0
82.0,22.5,0,5.3,0,0,0,0
200.0,22.7,0,5.9,0,0,0,0
670.0,21.6,0,4.9,0,0,0,0
163.0,22.8,0,5.4,0,0,0,0
455.0,21.4,0,5.7,0,0,0,0
277.0,21.7,0,5.0,0,0,0,0
172.0,22.3,0,5.0,0,0,0,0
286.0,21.7,0,5.6,0,0,0,0
473.0,22.4,0,4.5,0,0,0,0
239.0,22.6,0,4.8,0,0,0,0
132.0,22.6,0,5.8,0,0,0,0
305.0,22.2,0,4.8,0,0,0,0
271.0,22.1,0,5.0,0,0,0,0
329.0,21.9,0,5.5,0,0,0,0
651.0,21.4,0,4.8,0,0,0,0
302.0,22.3,0,4.9,0,0,0,0
436.0,21.5,0,5.5,0,0,0,0
256.0,22.4,0,4.7,0,0,0,0
330.0,22.1,0,5.0,0,0,0,0
524.0,21.1,0,5.4,0,0,0,0
425.0,21.8,0,4.8,0,0,0,0
340.0,22.2,0,5.2,0,0,0,0
164.0,22.5,0,5.7,0,0,0,0
630.0,21.7,0,4.8,0,0,0,0
433.0,21.6,0,4.4,0,0,0,0
715.0,21.0,0,5.7,0,0,0,0
311.0,22.3,0,5.0,0,0,0,0
477.0,21.5,0,4.9,0,0,0,0
970.0,20.4,0,5.6,0,0,0,0
403.0,21.5,0,4.4,0,0,0,0
478.0,21.5,0,4.6,0,0,0,0
672.0,20.8,0,5.3,0,0,0,0
414.0,21.6,0,4.5,0,0,0,0
491.0,22.2,0,4.8,0,0,0,0
742.0,22.6,0,5.5,0,0,0,0
609.0,22.1,0,4.5,0,0,0,0
541.0,22.1,0,4.8,0,0,0,0
509.0,21.5,0,5.5,0,0,0,0
529.0,21.6,0,4.6,0,0,0,0
557.0,21.8,0,4.6,0,0,0,0
662.0,21.4,0,5.5,0,0,0,0
2083.0,20.8,0,3.9,0,0,0,0
643.0,21.9,0,4.5,0,0,0,0
1205.0,20.8,0,5.7,0,0,0,0
515.0,21.6,0,4.4,0,0,0,0
654.0,21.4,0,4.8,0,0,0,0
977.0,20.8,0,5.3,0,0,0,0
691.0,21.4,0,4.2,0,0,0,0
658.0,20.8,0,5.0,0,0,0,0
689.0,21.2,0,5.3,0,0,0,0
768.0,20.8,0,4.8,0,0,0,0
765.0,20.1,0,4.3,0,0,0,0
973.0,19.9,0,5.1,0,0,0,0
845.0,21.4,0,4.5,0,0,0,0
795.0,21.4,0,4.6,0,0,0,0
683.0,20.9,0,4.3,0,0,0,0
814.0,20.7,0,4.5,0,0,0,0
1278.0,21.7,0,4.8,0,0,0,0
756.0,21.2,0,4.6,0,0,0,0
829.0,21.6,0,4.3,0,0,0,0
