basari_sirasi,tyt_turkce,tyt_matematik,tyt_sosyal,tyt_fen
389.0,35.8,35.8,17.9,16.7
279.0,34.9,38.9,17.9,18.8
215.0,34.2,38.3,17.5,17.9
791.0,35.4,32.9,15.8,15.4
918.0,36.0,35.1,15.4,18.1
1244.0,34.2,34.3,15.8,16.6
1707.0,35.1,31.9,15.9,14.8
1656.0,34.4,29.6,17.1,17.2
2120.0,34.4,32.9,14.6,12.0
1691.0,34.5,30.8,15.8,13.7
1874.0,33.9,30.4,16.1,15.4
1507.0,33.8,33.1,16.1,15.1
2067.0,32.8,29.0,15.4,12.8
2166.0,35.2,28.1,16.1,12.4
3248.0,32.4,28.3,14.5,12.1
2380.0,34.2,27.5,15.4,11.6
2943.0,33.8,26.6,15.6,13.5
2364.0,34.1,29.2,15.4,13.0
2617.0,33.7,26.9,15.5,11.5
3112.0,33.4,27.2,15.3,14.6
2513.0,33.3,29.6,16.2,13.1
3686.0,33.3,22.3,15.5,10.7
3682.0,33.5,24.1,15.1,11.9
3656.0,33.6,25.9,15.4,10.2
3123.0,33.8,24.7,15.1,9.4
3939.0,33.3,23.9,15.5,11.4
3142.0,33.3,26.7,15.6,11.3
2858.0,33.8,27.4,15.3,10.5
3986.0,33.2,25.3,14.5,11.5
3485.0,33.0,25.6,14.4,10.7
3558.0,33.7,23.6,15.4,8.8
4025.0,33.0,24.1,15.3,11.3
4605.0,32.9,24.3,14.6,11.1
3304.0,31.0,24.6,15.8,8.5
4086.0,34.5,25.2,16.0,14.3
4334.0,35.5,20.8,14.8,8.8
3822.0,32.7,27.2,13.9,11.1
4126.0,31.6,25.2,14.8,13.4
5134.0,33.1,28.7,13.6,10.4
5540.0,33.3,19.4,15.6,8.4
4226.0,33.0,25.7,14.3,16.3
6211.0,30.8,18.3,12.3,10.4
3376.0,33.3,24.2,14.9,9.8
4347.0,32.8,23.8,14.7,11.7
4710.0,32.6,23.7,14.5,10.2
4729.0,32.5,22.4,12.6,7.6
4909.0,33.6,24.0,15.2,9.8
6452.0,30.6,25.3,13.0,5.9
3844.0,32.2,23.1,13.6,8.0
5463.0,32.7,18.7,14.8,11.1
5003.0,32.6,24.3,13.3,9.2
3970.0,33.2,20.9,14.9,8.4
5492.0,32.9,19.6,15.1,9.4
5971.0,31.8,20.6,14.0,7.6
4660.0,33.0,21.1,14.3,8.1
5936.0,31.8,20.6,14.8,10.0
5467.0,32.9,21.6,14.4,8.7
4545.0,32.5,21.0,14.6,7.7
6002.0,33.1,19.4,15.2,8.0
7071.0,31.9,18.9,14.2,7.3
6731.0,30.2,16.5,11.8,4.2
6052.0,33.8,18.8,16.3,0.5
8453.0,27.0,10.0,16.3,10.5
6617.0,32.4,16.8,14.8,9.3
6513.0,32.8,18.2,14.1,8.6
4272.0,30.3,27.3,17.1,11.2
3943.0,33.6,24.6,15.5,9.4
6601.0,32.3,22.4,13.9,9.5
4559.0,33.2,22.0,14.0,11.3
3423.0,27.5,31.8,12.8,12.8
6641.0,35.0,7.8,15.0,11.8
4763.0,35.3,14.5,12.5,13.8
6959.0,33.0,16.0,14.1,3.1
6793.0,32.3,18.6,16.1,6.6
8650.0,28.9,21.8,14.9,7.4
5544.0,32.6,21.0,13.8,6.1
6856.0,31.0,17.5,15.6,9.7
7141.0,31.7,19.4,13.6,7.9
6825.0,33.3,16.5,14.8,7.3
6877.0,31.9,20.3,14.8,10.3
5665.0,31.9,26.8,15.7,12.2
5588.0,32.7,18.7,14.8,7.5
6960.0,32.4,18.8,14.2,8.0
6386.0,32.6,19.1,14.4,7.3
5791.0,32.0,19.2,14.3,6.9
7101.0,32.3,19.4,14.7,7.4
7256.0,31.4,19.7,13.9,7.9
5671.0,32.9,17.3,14.4,7.4
7283.0,31.5,17.6,15.9,5.4
5135.0,33.3,23.7,15.7,5.9
6033.0,32.5,17.7,14.7,6.7
7541.0,32.6,17.0,14.4,7.3
8301.0,32.3,16.2,14.0,5.8
8877.0,34.8,5.0,12.2,7.8
8346.0,30.8,14.9,13.4,7.1
6113.0,26.0,15.5,11.8,13.0
7063.0,32.3,15.8,14.3,5.0
8537.0,31.3,17.9,14.1,5.6
8896.0,30.8,16.4,13.1,6.3
6772.0,32.9,15.7,14.2,7.6
8568.0,32.9,13.9,14.6,7.5
8008.0,31.9,22.7,14.7,6.8
5585.0,32.4,20.0,14.8,7.9
8636.0,32.1,16.5,14.7,7.5
8075.0,31.6,17.2,13.2,6.1
6705.0,32.3,17.8,13.6,6.2
8659.0,27.9,22.5,13.9,11.0
10540.0,30.6,15.5,13.5,6.7
7229.0,32.5,16.7,14.5,5.8
8736.0,31.9,17.4,14.5,6.0
7661.0,32.0,19.6,14.2,6.6
6014.0,32.5,18.0,15.1,7.6
9229.0,31.6,18.3,14.2,6.1
10012.0,31.7,15.1,13.8,5.6
7583.0,31.6,19.9,12.5,3.2
9248.0,29.9,17.7,13.2,8.1
8387.0,31.6,17.6,12.9,6.9
6594.0,32.3,17.4,14.6,6.8
9285.0,31.7,16.3,14.5,6.0
7803.0,31.3,18.6,14.1,5.8
7049.0,32.6,16.6,14.2,5.5
9287.0,31.1,16.3,14.2,5.1
11192.0,30.0,14.4,13.0,4.6
5699.0,35.2,18.9,14.2,5.2
9400.0,31.4,14.8,15.2,4.4
9379.0,33.9,13.5,14.1,5.2
7727.0,33.2,14.9,14.3,6.2
9415.0,29.5,14.3,13.0,4.8
9753.0,32.1,16.4,14.9,4.4
8709.0,32.2,17.7,13.8,6.0
9743.0,31.9,16.7,13.9,7.1
11399.0,29.9,18.6,12.4,5.7
8253.0,31.9,14.7,12.7,6.0
9781.0,28.9,18.4,13.8,6.4
10364.0,32.8,19.8,11.3,4.6
12706.0,31.5,12.8,15.0,5.9
10122.0,30.8,10.6,13.0,4.0
15782.0,30.4,11.8,12.9,2.3
15057.0,30.6,14.1,12.9,4.9
10366.0,31.1,18.2,14.2,8.9
9718.0,31.5,18.2,13.8,8.6
9709.0,31.7,16.3,13.3,6.5
10478.0,30.2,17.6,13.8,5.8
11650.0,31.0,18.5,12.4,4.8
7565.0,32.9,15.7,14.2,5.7
10652.0,31.9,15.2,13.6,5.3
10061.0,31.2,14.3,14.0,5.8
8432.0,32.0,14.7,14.2,4.9
10794.0,31.5,14.6,14.2,5.4
10793.0,30.6,15.8,12.9,5.2
8187.0,32.3,14.4,14.6,5.0
10964.0,31.6,15.3,13.6,4.1
12055.0,30.8,13.2,13.0,4.7
7611.0,32.3,16.5,13.8,5.7
11219.0,31.3,15.2,14.2,4.3
11074.0,31.0,14.4,13.3,5.4
8635.0,31.4,16.8,13.8,4.7
11298.0,30.9,14.6,13.8,3.8
9951.0,31.1,15.4,13.3,5.0
9876.0,31.5,10.4,12.7,5.1
11311.0,32.1,16.4,13.5,3.8
11521.0,30.8,12.8,13.4,2.5
8686.0,31.9,16.2,13.9,5.5
11332.0,31.1,16.6,13.8,6.3
13437.0,31.0,13.6,13.2,4.6
9232.0,31.8,11.7,13.5,6.1
11403.0,33.5,17.2,14.4,4.6
11385.0,31.8,13.8,12.9,5.3
9964.0,30.1,12.2,15.0,4.4
11558.0,33.1,15.7,12.7,4.4
11844.0,30.4,10.6,13.0,5.0
11319.0,31.7,14.1,13.7,4.1
11576.0,29.8,17.0,14.0,5.3
11257.0,31.8,16.6,13.8,5.3
9370.0,32.0,16.2,13.7,2.7
11791.0,31.0,15.8,14.5,6.3
8657.0,32.1,19.4,13.0,5.8
8525.0,31.2,14.9,14.2,4.2
12141.0,31.3,14.1,13.5,4.4
11661.0,31.1,14.2,13.3,3.9
36174.0,27.7,9.1,14.1,1.0
12471.0,30.3,13.3,15.9,3.2
19658.0,23.9,10.8,10.1,0.8
8993.0,31.5,15.6,13.7,3.8
12598.0,30.7,13.2,13.0,2.8
12186.0,30.5,11.8,12.7,3.4
10910.0,31.6,12.6,13.9,4.5
12823.0,31.5,13.2,13.1,3.3
13909.0,30.0,11.1,12.2,3.6
9762.0,33.0,16.7,12.6,4.2
12827.0,27.6,16.2,13.0,8.4
12065.0,31.5,15.3,13.3,4.6
11338.0,31.5,13.2,13.0,4.4
12869.0,30.9,13.2,13.7,3.0
12194.0,30.8,13.4,12.8,4.1
10036.0,31.2,13.3,14.2,4.0
12977.0,29.3,14.7,12.6,5.9
13161.0,29.2,10.1,13.5,3.2
12851.0,30.3,13.3,13.6,3.8
13220.0,30.5,15.5,13.7,3.8
13769.0,29.9,15.7,11.7,4.8
16158.0,28.7,9.5,13.4,2.8
13441.0,29.9,15.8,14.0,1.7000000000000002
9469.0,32.1,12.9,14.5,3.1
12305.0,31.2,14.2,13.4,4.1
13593.0,30.0,12.6,13.2,3.3
14027.0,30.4,14.8,13.1,4.7
11599.0,31.5,13.9,13.3,3.3
13711.0,30.9,14.5,13.3,2.9
13215.0,31.4,13.0,13.2,2.9
11900.0,29.9,14.0,15.0,1.8
13801.0,26.8,13.4,12.3,3.7
14432.0,30.7,9.7,13.0,3.8
10953.0,31.5,11.9,13.9,4.4
13963.0,30.2,12.5,13.0,2.5
15304.0,30.6,10.3,12.8,2.2
12836.0,30.3,13.4,13.0,4.4
14099.0,28.2,16.7,10.8,5.0
11052.0,30.4,21.5,10.4,4.7
10814.0,29.6,15.8,14.4,4.5
14175.0,29.9,14.6,13.6,3.4
13744.0,30.7,9.5,11.2,5.2
9539.0,32.4,14.0,14.0,4.2
14311.0,30.7,13.4,13.4,3.5
13455.0,31.0,11.0,12.9,3.7
12348.0,31.8,12.1,13.7,4.6
14407.0,29.8,13.7,13.4,3.6
14604.0,29.2,12.1,12.3,4.5
13809.0,30.7,11.7,11.8,1.7000000000000002
14521.0,27.4,11.5,12.8,3.1
14462.0,30.5,10.4,13.6,1.6
12974.0,30.6,12.8,14.2,3.4
14650.0,32.9,16.8,14.7,4.9
8758.0,33.4,16.1,14.6,6.2
13731.0,31.1,12.8,14.1,3.7
14695.0,29.7,16.7,12.5,5.0
11986.0,30.5,14.6,13.3,4.3
10524.0,31.4,12.7,13.7,4.0
14827.0,31.0,13.7,13.3,3.6
12392.0,30.4,12.9,12.4,4.5
11843.0,31.6,14.5,13.2,3.9
15960.0,30.3,13.9,13.0,4.1
15227.0,28.8,14.8,12.8,4.3
15212.0,29.9,14.4,12.8,3.5
13312.0,31.1,13.8,13.2,4.4
15239.0,29.9,13.8,13.0,4.4
17248.0,29.4,12.4,12.2,3.9
10983.0,32.0,13.1,14.0,4.5
15509.0,30.4,13.2,13.6,3.6
14795.0,30.0,12.3,12.8,3.4
13985.0,30.7,12.9,13.4,3.7
15556.0,29.5,13.2,12.6,3.1
13275.0,31.9,13.7,13.0,3.3
10932.0,31.4,13.2,13.2,3.6
15560.0,31.1,11.2,13.1,2.9
14465.0,30.3,11.3,11.8,2.2
14688.0,30.5,13.1,13.6,2.9
15611.0,29.2,11.3,11.6,2.0
12396.0,32.0,12.7,13.7,4.2
15634.0,29.3,14.7,13.0,3.9
14964.0,30.3,11.3,13.0,4.7
12772.0,31.0,13.0,13.3,4.0
15652.0,30.9,11.8,13.2,2.6
15067.0,30.0,12.8,12.1,3.4
15256.0,30.3,11.2,12.5,3.5
15713.0,30.9,12.8,13.8,2.8
14864.0,31.5,13.5,13.2,3.7
12427.0,28.4,13.8,13.3,4.6
15724.0,30.0,15.0,13.3,6.8
12685.0,29.9,14.6,13.2,6.1
15898.0,30.3,14.0,13.4,3.3
14318.0,30.4,12.7,14.1,3.3
15895.0,31.0,10.1,13.6,3.1
14235.0,28.8,14.0,12.6,4.2
13326.0,31.4,11.4,11.6,2.2
15955.0,26.7,12.8,14.0,2.8
13134.0,29.3,11.4,12.9,4.4
35600.0,22.8,5.0,10.2,0.0
16116.0,29.3,16.3,4.0,8.5
15091.0,27.0,9.2,12.7,3.8
16143.0,30.3,12.2,12.2,4.7
14391.0,31.3,8.9,11.3,1.7000000000000002
13877.0,30.4,12.1,13.2,3.1
16175.0,29.7,15.5,13.2,3.1
16920.0,29.9,12.7,12.6,3.6
12916.0,31.5,13.1,13.0,3.5
16324.0,29.9,14.2,13.6,3.0
18551.0,29.4,11.3,12.4,3.3
13388.0,30.2,11.1,13.3,2.6
16363.0,28.5,11.8,12.8,2.3
17265.0,29.5,10.9,11.8,2.9
13728.0,31.1,9.9,12.0,2.1
16420.0,30.8,11.9,13.3,2.1
12810.0,28.9,9.8,12.6,3.2
15111.0,31.1,10.1,13.2,2.3
16609.0,31.4,9.9,14.0,1.5
15472.0,29.1,12.4,11.6,3.5
16396.0,29.2,9.8,12.8,2.8
16753.0,29.6,11.3,12.1,2.5
15901.0,30.2,12.4,12.4,2.8
14546.0,30.2,10.9,13.4,3.7
16896.0,28.9,13.9,13.8,3.8
20342.0,28.5,11.8,12.0,3.2
14178.0,30.7,10.5,12.9,2.4
16918.0,30.1,10.3,13.2,2.7
17186.0,29.1,8.8,11.8,2.7
12158.0,31.8,14.2,14.4,5.8
17020.0,28.0,12.5,12.8,4.7
